Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,country,country_name
2019-04-22,7969.3701171875,8017.14990234375,7965.89990234375,8015.27001953125,1790990000,0.0,0.0,^IXIC,USA,United States
2019-04-23,8026.75,8128.8701171875,8023.81005859375,8120.81982421875,2099410000,0.0,0.0,^IXIC,USA,United States
2019-04-24,8122.8798828125,8139.5498046875,8101.7001953125,8102.009765625,2043310000,0.0,0.0,^IXIC,USA,United States
2019-04-25,8150.85009765625,8151.83984375,8075.41015625,8118.68017578125,2073370000,0.0,0.0,^IXIC,USA,United States
2019-04-26,8100.27978515625,8146.419921875,8060.89013671875,8146.39990234375,1982560000,0.0,0.0,^IXIC,USA,United States
2019-04-29,8147.64990234375,8176.080078125,8136.41015625,8161.85009765625,1781860000,0.0,0.0,^IXIC,USA,United States
2019-04-30,8104.91015625,8124.60986328125,8050.5498046875,8095.39013671875,2131850000,0.0,0.0,^IXIC,USA,United States
2019-05-01,8132.93017578125,8146.0,8048.22998046875,8049.64013671875,2273540000,0.0,0.0,^IXIC,USA,United States
2019-05-02,8046.47998046875,8094.06005859375,7976.77001953125,8036.77001953125,2211530000,0.0,0.0,^IXIC,USA,United States
2019-05-03,8092.8798828125,8164.7099609375,8084.7998046875,8164.0,2081080000,0.0,0.0,^IXIC,USA,United States
2019-05-06,7981.85009765625,8135.5400390625,7981.85009765625,8123.2900390625,1979650000,0.0,0.0,^IXIC,USA,United States
2019-05-07,8043.52001953125,8070.97021484375,7899.02001953125,7963.759765625,2397600000,0.0,0.0,^IXIC,USA,United States
2019-05-08,7946.240234375,8004.490234375,7923.35009765625,7943.31982421875,2214680000,0.0,0.0,^IXIC,USA,United States
2019-05-09,7853.2099609375,7929.77978515625,7796.16015625,7910.58984375,2549500000,0.0,0.0,^IXIC,USA,United States
2019-05-10,7881.31005859375,7949.33984375,7759.33984375,7916.93994140625,2421470000,0.0,0.0,^IXIC,USA,United States
2019-05-13,7720.06982421875,7760.830078125,7627.22021484375,7647.02001953125,2484820000,0.0,0.0,^IXIC,USA,United States
2019-05-14,7689.66015625,7776.2001953125,7665.2998046875,7734.490234375,2103140000,0.0,0.0,^IXIC,USA,United States
2019-05-15,7682.7998046875,7838.72021484375,7682.240234375,7822.14990234375,2014080000,0.0,0.0,^IXIC,USA,United States
2019-05-16,7832.580078125,7946.22998046875,7826.669921875,7898.0498046875,2168720000,0.0,0.0,^IXIC,USA,United States
2019-05-17,7829.02978515625,7918.7099609375,7810.35009765625,7816.27978515625,2176380000,0.0,0.0,^IXIC,USA,United States
2019-05-20,7714.06005859375,7747.27001953125,7678.35009765625,7702.3798828125,2130700000,0.0,0.0,^IXIC,USA,United States
2019-05-21,7765.56982421875,7804.43994140625,7752.919921875,7785.72021484375,2000130000,0.0,0.0,^IXIC,USA,United States
2019-05-22,7749.7998046875,7786.330078125,7738.35009765625,7750.83984375,1884660000,0.0,0.0,^IXIC,USA,United States
2019-05-23,7660.72021484375,7665.14990234375,7585.31982421875,7628.27978515625,2270530000,0.0,0.0,^IXIC,USA,United States
2019-05-24,7675.56982421875,7694.14990234375,7631.25,7637.009765625,1685230000,0.0,0.0,^IXIC,USA,United States
2019-05-28,7655.66015625,7693.740234375,7603.759765625,7607.35009765625,2378470000,0.0,0.0,^IXIC,USA,United States
2019-05-29,7553.02001953125,7581.10986328125,7503.93994140625,7547.31005859375,2282120000,0.0,0.0,^IXIC,USA,United States
2019-05-30,7565.4599609375,7595.89990234375,7527.66015625,7567.72021484375,1875180000,0.0,0.0,^IXIC,USA,United States
2019-05-31,7470.9501953125,7506.85986328125,7448.22998046875,7453.14990234375,2239420000,0.0,0.0,^IXIC,USA,United States
2019-06-03,7441.2099609375,7457.66015625,7292.22021484375,7333.02001953125,2580670000,0.0,0.0,^IXIC,USA,United States
2019-06-04,7413.93994140625,7529.5,7385.02001953125,7527.1201171875,2374130000,0.0,0.0,^IXIC,USA,United States
2019-06-05,7585.68017578125,7589.47021484375,7498.169921875,7575.47998046875,2139290000,0.0,0.0,^IXIC,USA,United States
2019-06-06,7582.240234375,7634.1201171875,7546.22021484375,7615.5498046875,2093470000,0.0,0.0,^IXIC,USA,United States
2019-06-07,7652.97021484375,7767.02001953125,7647.91015625,7742.10009765625,2074120000,0.0,0.0,^IXIC,USA,United States
2019-06-10,7798.8701171875,7895.43994140625,7795.759765625,7823.169921875,2042340000,0.0,0.0,^IXIC,USA,United States
2019-06-11,7901.0400390625,7909.990234375,7798.6298828125,7822.56982421875,2121150000,0.0,0.0,^IXIC,USA,United States
2019-06-12,7803.1298828125,7819.16015625,7773.97021484375,7792.72021484375,1978930000,0.0,0.0,^IXIC,USA,United States
