year,usa_gdp,korea_gdp,sp500_price,sp500_volume,btc_price,btc_volume,eth_price,eth_volume,korea_real_estate
2008,14769862000000.0,1047339010225.25,88.36019265698822,75960832400.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,421.8728798418991
2009,14478067000000.0,943941876218.743,70.62805092523969,62062517700.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,430.31033743873706
2010,15048971000000.0,1143672241149.72,86.6074271126399,52842437000.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,443.2196475618992
2011,15599732000000.0,1253289537500.81,98.1487239958748,54991433900.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,456.5162369887562
2012,16253970000000.0,1278046536287.01,109.09022583007813,35832734200.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,470.21172409841887
2013,16880683000000.0,1370632955321.2,132.78561819167365,30627778200.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,484.31807582137145
2014,17608138000000.0,1484488526271.8,159.06452802627805,27670351600.0,363.6930847167969,2526711120.0,532.0866802863355,106819773376.0,498.8476180960126
2015,18295019000000.0,1466038936206.43,173.0732571435353,31152292100.0,272.453380595168,12375531708.0,532.0866802863355,106819773376.0,548.7323799056139
2016,18804913000000.0,1499679823909.61,179.62338904728966,26390533500.0,568.4924068763607,31448370984.0,532.0866802863355,106819773376.0,603.6056178961753
2017,19612102000000.0,1623074183501.9,214.18089616631133,17684746700.0,4006.0336286988977,869746420804.0,532.0866802863355,106819773376.0,663.9661796857929
2018,20656516000000.0,1725373496825.43,244.54960073037927,24388282200.0,7572.298946516481,2213196541089.0,483.5077266118298,831057313442.0,730.3627976543722
2019,21539982000000.0,1651422932447.77,264.5286471048991,17650707500.0,7395.246281704837,6106628278860.0,181.7701374419748,2542965161460.0,803.3990774198095
2020,21354105000000.0,1644312831906.17,297.7701033641227,25390906800.0,11116.378092447916,12086518388859.0,307.54297752588826,5213771313678.0,964.0788929037714
2021,23681171000000.0,1818432106880.04,401.41448284330824,18596398600.0,47436.932020547945,17211845901724.0,2778.3541488856486,9957498973243.0,1156.8946714845256
2022,26006893000000.0,1673916511799.71,390.23572579797997,23784662100.0,28197.754098886988,10954842244160.0,1987.3931869715861,5586527528916.0,1122.1878313399898
2023,27720709000000.0,1712792854202.37,414.69408349609375,20482640600.0,28859.44825021404,6661589630309.0,1795.1558523517765,2778070283615.0,1088.5221963997901
2024,29184890000000.0,1712792854202.37,532.7708273993599,14467792200.0,65964.11510630124,13702708292807.0,3044.9286168833246,6968331808356.0,1055.8665305077964
